Gansu  (4290,1310)  (4340,1310)  (4240,1310)  (4240,1360)  (4290,1360)  (4340,1360)  (4240,1410)  (4290,1410)  (4340,1410)  (4240,1460)  (4290,1460)  (4340,1460)  (4190,1410)  (4190,1460)  (4190,1510)  (4190,1560)  (4240,1410)  | overflowToLeft=false
Baffin Island  (550,300)  (600,300)  (500,300)  (540,350)  (590,350)  (640,350)  (590,400)  (640,400)  (590,450)  (640,450)  (440,250)  (595,455)  | overflowToLeft=false
64 Sea Zone  (130,3100)  (180,3100)  (80,3100)  (80,3150)  (130,3150)  (180,3150)  (80,3200)  (130,3200)  (180,3200)  (80,3250)  (130,3250)  (180,3250)  (80,3300)  (130,3300)  (180,3300)  (80,3350)  (130,3350)  (180,3350)  (80,3400)  (130,3400)  (180,3400)  (230,3100)  (230,3150)  (230,3200)  (230,3250)  (230,3300)  (230,3350)  (230,3400)  (235,3405)  | overflowToLeft=false
Central Brasil  (1110,2520)  (1160,2520)  (1060,2520)  (1060,2570)  (1110,2570)  (1160,2570)  (1060,2620)  (1110,2620)  (1160,2620)  (1210,2520)  (1210,2570)  (1165,2670)  (1010,2520)  (1010,2570)  (1010,2620)  (1010,2470)  (1210,2470)  (1260,2470)  (1015,2625)  | overflowToLeft=false
South Mandsjoekwo  (5090,920)  (5140,920)  (5040,920)  (5040,970)  (5090,970)  (5140,970)  (5040,1020)  (5090,1020)  (5140,1020)  (4990,920)  (4990,970)  (4990,1020)  (5190,920)  (5190,970)  (5190,1020)  (4995,1020)  | overflowToLeft=false
76 Sea Zone  (3575,2360)  (3625,2360)  (3525,2360)  (3475,2360)  (3425,2360)  (3375,2360)  (3575,2310)  (3625,2310)  (3575,2260)  (3625,2260)  (3570,2210)  (3433,2130)  (3382,2093)  (3342,2038)  (3375,2365)  | overflowToLeft=false
Altay  (4070,660)  (4120,660)  (4020,660)  (4020,710)  (4070,710)  (4120,710)  (4020,760)  (4070,760)  (4120,760)  (4020,810)  (4070,810)  (4170,660)  (4170,710)  (4170,610)  (4220,610)  | overflowToLeft=false
4 Sea Zone  (1200,280)  (1250,280)  (1150,280)  (1150,330)  (1200,330)  (1250,330)  (1150,230)  (1200,230)  (1250,230)  (1100,230)  (1100,280)  (1100,330)  (1300,230)  (1105,335)  | overflowToLeft=false
15 Sea Zone  (2490,790)  (2540,790)  (2440,790)  (2440,840)  (2490,840)  (2540,840)  (2590,790)  (2590,840)  (2590,740)  (2427,741)  (2543,741)  (2413,694)  (2593,696)  (2445,845)  | overflowToLeft=false
Nenetsia  (3470,300)  (3420,300)  (3370,300)  (3520,300)  (3570,300)  (3320,300)  (3320,350)  (3370,350)  (3420,350)  (3320,400)  (3370,400)  (3520,250)  (3570,250)  (3620,250)  (3320,250)  (3270,250)  | overflowToLeft=false
Falklands  (1025,3325)  (204,70)  (254,70)  (154,70)  (154,120)  (204,120)  (254,120)  (154,170)  (204,170)  (256,172)  | overflowToLeft=false
East India  (3970,2135)  (4020,2135)  (3920,2135)  (3920,2185)  (3980,2185)  (4020,2185)  (3920,2235)  (3980,2235)  (3920,2285)  (3925,2335)  (4080,2135)  (4080,2185)  (3910,2385)  | overflowToLeft=false
97 Sea Zone  (4590,2525)  (4640,2525)  (4590,2575)  (4640,2575)  (4615,2625)  (4640,2680)  (4628,2735)  (4540,2515)  (4500,2460)  (4435,2440)  (4585,2580)  | overflowToLeft=false
92 Sea Zone  (6110,3150)  (6110,3200)  (6110,3250)  (6110,3300)  (6110,3350)  (6110,3400)  (6060,3300)  (6060,3350)  (6060,3400)  (6010,3350)  (6010,3400)  (5060,3350)  (5060,3400)  (5065,3405)  | overflowToLeft=false
North Algeria  (2040,1805)  (2090,1805)  (1990,1805)  (1990,1855)  (2040,1855)  (2090,1855)  (1990,1905)  (2040,1905)  (2090,1905)  (1940,1805)  (1940,1855)  (1940,1905)  (1945,1905)  | overflowToLeft=false
Bulgaria  (2805,1470)  (2850,1470)  (2750,1470)  (2900,1470)  (2800,1520)  (2750,1470)  (2850,1520)  (2900,1520)  (2745,1421)  (2895,1421)  (2805,1526)  | overflowToLeft=false
117 Sea Zone  (6630,2000)  (6680,2000)  (6580,2000)  (6580,2050)  (6630,2050)  (6680,2050)  (6580,2100)  (6630,2100)  (6680,2100)  (6580,2150)  (6630,2150)  (6680,2150)  (6580,2200)  (6630,2200)  (6680,2200)  (6580,2250)  (6630,2250)  (6680,2250)  (6580,2300)  (6630,2300)  (6680,2300)  (6580,2350)  (6630,2350)  (6680,2350)  (6580,2400)  (6630,2400)  (6680,2400)  (6580,2450)  (6630,2450)  (6680,2450)  | overflowToLeft=false
51 Sea Zone  (1750,2480)  (1800,2480)  (1700,2480)  (1700,2530)  (1750,2530)  (1800,2530)  (1700,2580)  (1750,2580)  (1800,2580)  (1700,2630)  (1750,2630)  (1800,2630)  (1700,2680)  (1750,2680)  (1800,2680)  (1850,2480)  (1850,2530)  (1850,2580)  (1850,2630)  (1850,2680)  (1900,2480)  (1900,2530)  (1900,2580)  (1900,2630)  (1900,2680)  (1705,2685)  | overflowToLeft=false
48 Sea Zone  (980,2040)  (1030,2040)  (930,2040)  (930,2090)  (980,2090)  (1030,2090)  (1030,2140)  (1080,2040)  (1080,2090)  (1080,2140)  (1085,2190)  (1035,2190)  (1040,2240)  (1090,2240)  (935,2095)  | overflowToLeft=false
89 Sea Zone  (4680,3300)  (4730,3300)  (4630,3300)  (4630,3350)  (4680,3350)  (4730,3350)  (4630,3400)  (4680,3400)  (4730,3400)  (4780,3300)  (4780,3350)  (4780,3400)  (4580,3300)  (4580,3350)  (4580,3400)  (4830,3300)  (4830,3350)  (4830,3400)  (4530,3300)  (4530,3350)  (4530,3400)  (4830,3300)  (4830,3350)  (4830,3400)  (4535,3405)  | overflowToLeft=false
Guangsi  (4600,1930)  (4650,1930)  (4550,1930)  (4550,1980)  (4600,1980)  (4650,1980)  (4550,2030)  (4600,2030)  (4650,2030)  (4550,2080)  (4600,2080)  (4650,2080)  (4535,1880)  (4680,1880)  (4560,2080)  | overflowToLeft=false
French Polynesia  (7335,2455)  (6325,70)  (6375,70)  (6275,70)  (6275,120)  (6325,120)  (6375,120)  (6275,170)  (6325,170)  (6375,170)  (6277,172)  | overflowToLeft=false
43 Sea Zone  (980,1700)  (1030,1700)  (930,1700)  (930,1750)  (980,1750)  (1030,1750)  (930,1800)  (980,1800)  (1030,1800)  (930,1850)  (980,1850)  (1030,1850)  (930,1900)  (980,1900)  (1030,1900)  (930,1950)  (980,1950)  (1030,1950)  (1080,1700)  (1080,1750)  (1080,1800)  (1080,1850)  (1080,1900)  (1080,1950)  | overflowToLeft=false
Cuba  (610,1697)  (665,70)  (715,70)  (615,70)  (615,120)  (665,120)  (715,120)  (615,170)  (665,170)  (715,170)  (617,172)  | overflowToLeft=false
Sicily  (2392,1720)  (2805,70)  (2855,70)  (2755,70)  (2755,120)  (2805,120)  (2855,120)  (2755,170)  (2805,170)  (2855,170)  (2757,172)  | overflowToLeft=false
Bryansk  (3270,960)  (3320,960)  (3220,960)  (3220,1010)  (3270,1010)  (3320,1010)  (3220,1060)  (3270,1060)  (3320,1060)  (3270,1110)  (3320,1110)  (3170,960)  (3170,1010)  | overflowToLeft=false
Ulan Bator  (4770,740)  (4820,740)  (4720,740)  (4720,790)  (4770,790)  (4820,790)  (4870,740)  (4870,790)  (4670,740)  (4920,740)  (4920,790)  (4670,690)  (4670,790)  (4720,830)  (4680,790)  | overflowToLeft=false
Azores  (1430,1293)  (1480,1293)  (1380,1293)  (1380,1343)  (1430,1343)  (1480,1343)  (1380,1393)  (1430,1393)  (1480,1393)  (1385,1448)  | overflowToLeft=false
Central America  (410,1880)  (460,1880)  (360,1880)  (360,1930)  (410,1930)  (460,1930)  (360,1980)  (410,1980)  (460,1980)  (460,2030)  (510,2080)  (365,1985)  | overflowToLeft=false
Gibraltar  (1769,1706)  (1735,70)  (1785,70)  (1685,70)  (1685,120)  (1735,120)  (1785,120)  (1685,170)  (1735,170)  (1785,170)  (1687,172)  | overflowToLeft=false
Cyprus  (2972,1742)  (3315,70)  (3215,70)  (3265,70)  (3215,120)  (3265,120)  (3315,120)  (3215,170)  (3265,170)  (3315,170)  (3217,172)  | overflowToLeft=false
Northwest Mexico  (7550,1342)  (7600,1342)  (7500,1342)  (7500,1392)  (7550,1392)  (7600,1392)  | overflowToLeft=false
West Australia  (5340,3080)  (5390,3080)  (5290,3080)  (5290,3130)  (5340,3130)  (5390,3130)  (5340,3180)  (5390,3180)  (5440,3130)  (5440,3180)  (5290,3180)  (5340,3230)  (5390,3230)  (5440,3230)  (5340,3280)  (5390,3280)  (5350,3230)  | overflowToLeft=false
35 Sea Zone  (2545,1685)  (2595,1685)  (2495,1685)  (2655,1685)  (2560,1735)  (2610,1735)  (2660,1735)  (2600,1636)  (2585,1583)  (2533,1523)  (2450,1425)  (2510,1735)  (2515,1740)  | overflowToLeft=false
Timor  (5070,2870)  (5120,2870)  (5020,2870)  (5020,2920)  (5070,2920)  (5120,2920)  (5020,2970)  (5070,2970)  (5120,2970)  (5025,2925)  (5170,2870)  (5170,2920)  (5170,2970)  (5025,2975)  | overflowToLeft=false
145 Sea Zone  (7200,550)  (7250,550)  (7150,550)  (7150,600)  (7200,600)  (7250,600)  (7150,650)  (7200,650)  (7250,650)  (7150,500)  (7200,500)  (7250,500)  (7300,500)  (7300,550)  (7300,600)  (7300,650)  (7100,600)  (7100,650)  (7050,600)  (7050,650)  (7000,600)  (7000,650)  (7350,500)  (7350,550)  (7350,600)  (7350,650)  (7005,655)  | overflowToLeft=false
44 Sea Zone  (1270,1820)  (1320,1820)  (1220,1820)  (1220,1870)  (1270,1870)  (1320,1870)  (1220,1920)  (1270,1920)  (1320,1920)  (1220,1970)  (1270,1970)  (1320,1970)  (1220,2020)  (1270,2020)  (1320,2020)  (1220,2070)  (1270,2070)  (1320,2070)  (1370,1820)  (1370,1870)  (1370,1920)  (1370,1970)  (1370,2020)  (1370,2070)  (1170,1820)  (1170,1870)  (1170,1920)  (1170,1970)  (1170,2020)  (1170,2070)  | overflowToLeft=false
Smolensk  (3270,630)  (3320,630)  (3220,630)  (3220,680)  (3270,680)  (3320,680)  (3320,730)  (3220,730)  (3270,730)  (3320,780)  (3220,780)  (3270,780)  (3320,830)  (3220,830)  (3270,830)  (3170,680)  (3370,680)  | overflowToLeft=false
72 Sea Zone  (3010,3106)  (3060,3106)  (3010,3156)  (3060,3156)  (3010,3206)  (3060,3206)  (3000,3256)  (3050,3256)  (2950,3256)  (2900,3256)  (3010,3056)  (3160,3056)  (3220,3056)  (2902,3258)  | overflowToLeft=false
Rome  (2347,1487)  (2652,70)  (2702,70)  (2602,70)  (2602,120)  (2652,120)  (2702,120)  (2602,170)  (2652,170)  (2702,170)  (2604,172)  | overflowToLeft=false
North Argentina  (830,2935)  (880,2935)  (780,2935)  (780,2985)  (830,2985)  (880,2985)  (765,3035)  (815,3035)  (865,3035)  (915,3035)  (760,3040)  | overflowToLeft=false
Bombay  (3838,2304)  (4233,70)  (4133,70)  (4183,70)  (4133,120)  (4183,120)  (4233,120)  (4133,170)  (4183,170)  (4233,170)  (4235,122)  | overflowToLeft=false
Tokyo  (5785,1209)  (5560,70)  (5610,70)  (5510,70)  (5510,120)  (5560,120)  (5610,120)  (5510,170)  (5560,170)  (5610,170)  (5512,172)  | overflowToLeft=false
Sakhalin-Kurils  (5920,725)  (5970,725)  (5870,725)  (5870,775)  (5920,775)  (5970,775)  (5870,825)  (5920,825)  (5970,825)  (6020,725)  (6020,775)  (6020,825)  (5875,830)  | overflowToLeft=false
63 Sea Zone  (510,2750)  (560,2750)  (460,2750)  (460,2800)  (510,2800)  (560,2800)  (460,2850)  (510,2850)  (560,2850)  (460,2900)  (510,2900)  (560,2900)  (460,2950)  (510,2950)  (560,2950)  (460,3000)  (510,3000)  (560,3000)  (410,2750)  (410,2800)  (410,2850)  (410,2900)  (410,2950)  (410,3000)  (415,3005)  | overflowToLeft=false
North Norway  (2600,332)  (2550,332)  (2500,382)  (2550,382)  (2500,332)  (2600,382)  (2450,432)  (2500,432)  (2550,432)  (2450,432)  | overflowToLeft=false
Aleutians  (6830,590)  (6880,590)  (6780,590)  (6780,640)  (6830,640)  (6880,640)  (6780,690)  (6830,690)  (6880,690)  (6730,590)  (6730,640)  (6730,690)  (6930,640)  (6930,690)  (6930,590)  (6737,697)  | overflowToLeft=false
112 Sea Zone  (5195,2080)  (5245,2080)  (5145,2080)  (5145,2130)  (5195,2130)  (5245,2130)  (5145,2180)  (5195,2180)  (5245,2180)  (5145,2230)  (5195,2230)  (5245,2230)  (5145,2280)  (5195,2280)  (5245,2280)  (5195,2330)  (5245,2330)  (5095,2080)  (5200,2335)  | overflowToLeft=false
Abyssinia  (2890,2450)  (2940,2450)  (2840,2450)  (2840,2500)  (2890,2500)  (2940,2500)  (2840,2550)  (2890,2550)  (2940,2550)  (2990,2450)  (2990,2500)  (2975,2400)  (3025,2400)  (2940,2605)  (2790,2565)  | overflowToLeft=false
Tripolitania  (2380,1950)  (2430,1950)  (2330,1950)  (2330,2000)  (2380,2000)  (2430,2000)  (2330,2050)  (2380,2050)  (2430,2050)  (2280,1950)  (2280,2000)  (2280,2050)  (2230,2000)  (2230,2050)  (2240,2060)  | overflowToLeft=false
Ecuador  (540,2405)  | overflowToLeft=false
5 Sea Zone  (1510,280)  (1560,280)  (1460,280)  (1460,330)  (1510,330)  (1560,330)  (1460,230)  (1510,230)  (1560,230)  (1610,230)  (1610,280)  (1610,330)  (1660,230)  (1660,280)  (1660,330)  (1465,335)  | overflowToLeft=false
16 Sea Zone  (2650,665)  (2700,665)  (2750,665)  (2655,715)  (2705,715)  (2650,765)  (2655,815)  (2655,860)  (2800,655)  (2850,650)  (2655,670)  | overflowToLeft=false
Chahar  (4605,1125)  (4655,1125)  (4555,1125)  (4555,1175)  (4605,1175)  (4655,1175)  (4555,1225)  (4605,1225)  (4655,1225)  (4555,1275)  (4605,1275)  (4655,1275)  (4505,1125)  (4505,1175)  (4505,1225)  (4690,1075)  (4740,1075)  (4565,1125)  | overflowToLeft=false
North Mandsjoekwo  (5240,820)  (5290,820)  (5190,820)  (5340,820)  (5240,870)  (5290,870)  (5340,870)  (5240,920)  (5290,920)  (5340,920)  (5390,920)  (5240,970)  (5290,970)  (5340,970)  (5390,820)  (5390,870)  (5390,920)  (5140,820)  (5090,800)  | overflowToLeft=false
Caspian Sea  (3500,1480)  (3500,1530)  (3515,1580)  (3530,1630)  (3530,1680)  | overflowToLeft=false
Shandong  (4980,1280)  (5030,1280)  (4930,1280)  (4930,1330)  (4980,1330)  (5030,1330)  (4930,1380)  (4980,1380)  (5030,1380)  (5080,1280)  (4880,1280)  (4880,1330)  (4880,1380)  (5080,1230)  (4930,1380)  | overflowToLeft=false
69 Sea Zone  (1810,3100)  (1860,3100)  (1760,3100)  (1760,3150)  (1810,3150)  (1860,3150)  (1760,3200)  (1810,3200)  (1860,3200)  (1760,3250)  (1810,3250)  (1860,3250)  (1760,3300)  (1810,3300)  (1860,3300)  (1760,3350)  (1810,3350)  (1860,3350)  (1760,3400)  (1810,3400)  (1860,3400)  (1910,3100)  (1910,3150)  (1910,3200)  (1910,3250)  (1910,3300)  (1910,3350)  (1910,3400)  (1765,3405)  | overflowToLeft=false
Guizhou  (4430,1610)  (4480,1610)  (4380,1610)  (4380,1660)  (4430,1660)  (4480,1660)  (4380,1710)  (4430,1710)  (4480,1710)  (4380,1760)  (4430,1760)  (4480,1760)  (4500,1560)  (4380,1760)  | overflowToLeft=false
West Sahara  (2140,2090)  | overflowToLeft=false
Labrador  (830,690)  (880,690)  (780,690)  (780,740)  (830,740)  (880,740)  (780,790)  (830,790)  (880,790)  (930,690)  (930,740)  (930,790)  (980,790)  (785,795)  | overflowToLeft=false
Kamsjatka  (6050,360)  (6100,360)  (6000,360)  (6000,410)  (6050,410)  (6100,410)  (5950,360)  (5950,410)  (6150,360)  (6150,410)  (6050,460)  (6040,510)  (6030,560)  | overflowToLeft=false
East Egypt  (2890,1960)  (2940,1960)  (2840,1960)  (2865,2010)  (2915,2010)  (2845,2060)  (2895,2060)  (2945,2060)  (2850,2110)  (2900,2110)  (2950,2110)  (2860,2120)  | overflowToLeft=false
Okinawa  (5370,1580)  (5253,70)  (5303,70)  (5203,70)  (5203,120)  (5253,120)  (5303,120)  (5203,170)  (5253,170)  (5303,170)  (5205,172)  | overflowToLeft=false
Krasnoyar  (4400,300)  (4450,300)  (4350,300)  (4350,350)  (4400,350)  (4450,350)  (4350,400)  (4400,400)  (4450,400)  (4350,450)  (4400,450)  (4450,450)  (4350,500)  | overflowToLeft=false
Afghanistan  (3790,1889)  (3840,1889)  (3740,1889)  (3740,1939)  (3790,1939)  (3690,1889)  (3690,1939)  (3725,1989)  (3860,1839)  (3915,1834)  (3840,1939)  (3890,1939)  (3700,1939)  | overflowToLeft=false
Tunesia  (2210,1805)  (2260,1805)  (2160,1805)  (2160,1855)  (2210,1855)  (2260,1855)  (2160,1905)  (2210,1905)  (2257,1902)  (2165,1910)  | overflowToLeft=false
Pripyat Marshes  (3045,990)  (3095,990)  (2995,990)  (2995,1040)  (3045,1040)  (3095,1040)  (3145,990)  (3145,1040)  (2995,1040)  | overflowToLeft=false
Samoa-Tonga  (6920,2790)  (6970,2790)  (6870,2790)  (6870,2840)  (6920,2840)  (6970,2840)  (6870,2890)  (6920,2890)  (6970,2890)  (6870,2940)  (6920,2940)  (6970,2940)  (6870,2990)  (6920,2990)  (6970,2990)  (6972,2992)  | overflowToLeft=false
Scotland  (1980,503)  (2030,503)  (1930,503)  (1930,553)  (1970,553)  (2030,553)  (1930,603)  (1970,603)  (2030,603)  (1930,653)  (1970,653)  (2030,653)  (1930,703)  (1970,703)  (2030,703)  (1935,708)  | overflowToLeft=false
113 Sea Zone  (5370,2100)  (5430,2090)  (5330,2090)  (5330,2140)  (5380,2140)  (5430,2140)  (5330,2190)  (5380,2190)  (5430,2190)  (5330,2240)  (5380,2240)  (5430,2240)  (5330,2290)  (5380,2290)  (5430,2290)  (5330,2340)  (5380,2340)  (5430,2340)  (5330,2390)  (5380,2390)  (5430,2390)  (5480,2090)  (5480,2140)  (5530,2190)  (5400,2395)  | overflowToLeft=false
French Madagascar  (3170,3167)  (3220,3167)  (3120,3167)  (3110,3217)  (3160,3217)  (3210,3217)  (3090,3267)  (3140,3267)  (3190,3267)  (3090,3317)  (3150,3317)  (3240,3107)  (3105,3322)  | overflowToLeft=false
88 Sea Zone  (4220,3300)  (4270,3300)  (4170,3300)  (4170,3350)  (4220,3350)  (4270,3350)  (4170,3400)  (4220,3400)  (4270,3400)  (4320,3300)  (4320,3350)  (4320,3400)  (4120,3300)  (4120,3350)  (4120,3400)  (4370,3300)  (4370,3350)  (4370,3400)  (4070,3300)  (4070,3350)  (4070,3400)  | overflowToLeft=false
Hainan  (4840,2181)  (4890,2181)  (4790,2181)  (4790,2231)  (4840,2231)  (4890,2231)  (4790,2281)  (4840,2281)  (4890,2281)  (4740,2181)  (4740,2231)  (4745,2235)  | overflowToLeft=false
141 Sea Zone  (6250,530)  (6300,530)  (6200,530)  (6200,580)  (6250,580)  (6300,580)  (6200,630)  (6250,630)  (6300,630)  (6150,530)  (6150,580)  (6150,630)  (6350,530)  (6350,580)  (6350,630)  (6150,480)  (6200,480)  (6250,480)  (6300,480)  (6350,480)  (6155,635)  | overflowToLeft=false
Karelia  (2895,523)  (2945,523)  (2845,523)  (2845,563)  (2895,563)  (2945,563)  (2995,523)  (2995,573)  (2855,573)  | overflowToLeft=false
129 Sea Zone  (6310,1330)  (6360,1330)  (6260,1330)  (6360,1380)  (6260,1380)  (6310,1380)  (6360,1430)  (6260,1430)  (6310,1430)  (6360,1480)  (6260,1480)  (6310,1480)  (6360,1530)  (6260,1530)  (6310,1530)  (6360,1580)  (6260,1580)  (6310,1580)  (6410,1330)  (6410,1380)  (6410,1430)  (6410,1480)  (6410,1530)  (6410,1580)  (6365,1585)  | overflowToLeft=false
